timestamp,raw_acc:magnitude_stats:mean,raw_acc:magnitude_stats:std,raw_acc:magnitude_stats:moment3,raw_acc:magnitude_stats:moment4,raw_acc:magnitude_stats:percentile25,raw_acc:magnitude_stats:percentile50,raw_acc:magnitude_stats:percentile75,raw_acc:magnitude_stats:value_entropy,raw_acc:magnitude_stats:time_entropy,raw_acc:magnitude_spectrum:log_energy_band0,raw_acc:magnitude_spectrum:log_energy_band1,raw_acc:magnitude_spectrum:log_energy_band2,raw_acc:magnitude_spectrum:log_energy_band3,raw_acc:magnitude_spectrum:log_energy_band4,raw_acc:magnitude_spectrum:spectral_entropy,raw_acc:magnitude_autocorrelation:period,raw_acc:magnitude_autocorrelation:normalized_ac,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,raw_acc:3d:std_x,raw_acc:3d:std_y,raw_acc:3d:std_z,raw_acc:3d:ro_xy,raw_acc:3d:ro_xz,raw_acc:3d:ro_yz,proc_gyro:magnitude_stats:mean,proc_gyro:magnitude_stats:std,proc_gyro:magnitude_stats:moment3,proc_gyro:magnitude_stats:moment4,proc_gyro:magnitude_stats:percentile25,proc_gyro:magnitude_stats:percentile50,proc_gyro:magnitude_stats:percentile75,proc_gyro:magnitude_stats:value_entropy,proc_gyro:magnitude_stats:time_entropy,proc_gyro:magnitude_spectrum:log_energy_band0,proc_gyro:magnitude_spectrum:log_energy_band1,proc_gyro:magnitude_spectrum:log_energy_band2,proc_gyro:magnitude_spectrum:log_energy_band3,proc_gyro:magnitude_spectrum:log_energy_band4,proc_gyro:magnitude_spectrum:spectral_entropy,proc_gyro:magnitude_autocorrelation:period,proc_gyro:magnitude_autocorrelation:normalized_ac,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,proc_gyro:3d:std_x,proc_gyro:3d:std_y,proc_gyro:3d:std_z,proc_gyro:3d:ro_xy,proc_gyro:3d:ro_xz,proc_gyro:3d:ro_yz,location:num_valid_updates,location:log_latitude_range,location:log_longitude_range,location:min_speed,location:max_speed,location:best_horizontal_accuracy,location:diameter,location:log_diameter,location_quick_features:std_lat,location_quick_features:std_long,location_quick_features:lat_change,location_quick_features:long_change,location_quick_features:mean_abs_lat_deriv,location_quick_features:mean_abs_long_deriv,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,audio_naive:mfcc0:std,audio_naive:mfcc1:std,audio_naive:mfcc2:std,audio_naive:mfcc3:std,audio_naive:mfcc4:std,audio_naive:mfcc5:std,audio_naive:mfcc6:std,audio_naive:mfcc7:std,audio_naive:mfcc8:std,audio_naive:mfcc9:std,audio_naive:mfcc10:std,audio_naive:mfcc11:std,audio_naive:mfcc12:std,discrete:app_state:is_active,discrete:app_state:is_inactive,discrete:app_state:is_background,discrete:app_state:missing,discrete:battery_plugged:is_ac,discrete:battery_plugged:is_usb,discrete:battery_plugged:is_wireless,discrete:battery_plugged:missing,discrete:battery_state:is_unknown,discrete:battery_state:is_unplugged,discrete:battery_state:is_not_charging,discrete:battery_state:is_discharging,discrete:battery_state:is_charging,discrete:battery_state:is_full,discrete:battery_state:missing,discrete:on_the_phone:is_False,discrete:on_the_phone:is_True,discrete:on_the_phone:missing,discrete:ringer_mode:is_normal,discrete:ringer_mode:is_silent_no_vibrate,discrete:ringer_mode:is_silent_with_vibrate,discrete:ringer_mode:missing,discrete:wifi_status:is_not_reachable,discrete:wifi_status:is_reachable_via_wifi,discrete:wifi_status:is_reachable_via_wwan,discrete:wifi_status:missing,lf_measurements:light,lf_measurements:pressure,lf_measurements:proximity_cm,lf_measurements:battery_level,discrete:time_of_day:between0and6,discrete:time_of_day:between3and9,discrete:time_of_day:between6and12,discrete:time_of_day:between9and15,discrete:time_of_day:between12and18,discrete:time_of_day:between15and21,discrete:time_of_day:between18and24,discrete:time_of_day:between21and3
1588991650,0.989351,0.0013859999999999999,-0.00064,0.001984,0.9884649999999999,0.989416,0.990318,2.2819529999999997,6.684611,5.043545,1.1e-05,4.9e-05,4.3e-05,0.001103,0.42964300000000005,0.7843359999999999,0.093279,0.028627999999999997,-0.021823,0.9886940000000001,0.001257,0.001131,0.001387,0.050532,0.000182,0.046696,0.000944,0.00044699999999999997,0.00043499999999999995,0.000704,0.00063,0.0009289999999999999,0.001201,2.222265,5.972355,4.878197,0.784652,2.371505,2.2758689999999997,4.2919540000000005,1.153222,0.277649,0.117755,7.000000000000001e-06,-3e-06,-5e-06,0.000567,0.000704,0.000522,0.028013,-0.051237,-0.015019999999999999,8.0,0.02479,0.012027,0.009977,0.179551,12.506,2.796337,1.02831,8e-06,4e-06,2.5e-05,2e-06,1e-06,2e-06,8.168515,0.363535,0.153307,-0.062285,0.460859,-0.350958,0.007624,-0.352086,0.043125,-0.344904,-0.142373,-0.328687,0.012965,1.153165,0.38195,0.300798,0.17544300000000002,0.148742,0.153376,0.137205,0.128148,0.100636,0.095032,0.106624,0.10253599999999999,0.114844,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.807219,982.538025,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1588991691,1.0145790000000001,0.023975,0.049283999999999994,0.078404,1.0106979999999999,1.012059,1.0132649999999999,0.290211,6.684349,5.041005999999999,0.00042300000000000004,0.0012,0.0006219999999999999,0.006606,0.42911800000000005,0.574411,0.052029,0.044451,-0.0019510000000000003,-1.0127389999999998,0.037842,0.02159,0.020668000000000002,0.492443,-0.41860200000000003,-0.359829,0.068937,0.24707600000000002,0.408211,0.549235,0.000781,0.001178,0.0019079999999999998,0.617861,3.450648,5.939928,4.415333,4.735668,4.630726999999999,4.9471989999999995,3.353596,0.0,0.0,0.018444,-0.031251,0.01457,0.126134,0.181491,0.124181,-0.064234,0.7143550000000001,0.067636,2.0,0.0003,0.0046890000000000005,0.057364,0.057364,13.042,0.38818,-0.9462860000000001,1e-06,2e-06,-0.0,5e-06,0.0,1e-06,1.284071,-0.8937459999999999,0.6123109999999999,0.114173,0.262378,0.10595399999999999,-0.011103,-0.134431,-0.06815800000000001,-0.159823,-0.011595000000000001,-0.073153,-0.109463,1.9383400000000002,0.5569189999999999,0.32292600000000005,0.19553199999999998,0.22545,0.165216,0.14083900000000002,0.18163800000000002,0.21553899999999998,0.127854,0.124601,0.115455,0.128301,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9906099999999998,982.473267,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1588991740,1.0125600000000001,0.0020109999999999998,0.001179,0.00413,1.011583,1.0126,1.013677,1.535896,6.68461,5.043501,1.8e-05,4.1e-05,3.4e-05,0.001625,0.429641,0.030747000000000003,0.25159000000000004,0.03884,-0.002695,-1.011808,0.0015949999999999998,0.001768,0.0020109999999999998,-0.08713,-0.006121,0.037077,0.0009939999999999999,0.00046100000000000004,0.00046699999999999997,0.000692,0.000653,0.000926,0.00126,2.4262639999999998,5.664897,4.946549,1.073078,2.692283,1.978634,4.474426,1.246502,1.3366040000000001,0.21190799999999999,0.00010400000000000001,2.3e-05,-5.6999999999999996e-05,0.000583,0.000687,0.000612,0.034642,0.042936,-0.011044,2.0,0.002198,0.009554,0.005936,0.005936,13.282,0.8269559999999999,-0.190004,1e-06,5e-06,-2e-06,1e-05,0.0,2e-06,6.366069,-0.6910430000000001,0.5126609999999999,-0.016615,0.185498,0.157154,-0.007996,-0.07709400000000001,-0.094368,-0.161137,-0.045476,-0.18345799999999998,-0.170781,1.44513,0.38104299999999997,0.28375100000000003,0.176248,0.178143,0.153105,0.174965,0.195729,0.158404,0.141457,0.109269,0.117274,0.11453699999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-11.512925,982.462708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1588991800,1.012677,0.001527,-0.000886,0.0021449999999999998,1.011569,1.012638,1.013865,2.187811,6.684611,5.043336,3.7e-05,3.4e-05,4.3e-05,0.001158,0.42958900000000005,1.253206,0.092269,0.038951,-0.002271,-1.011923,0.001398,0.001235,0.0015279999999999998,-0.01769,0.004556,0.003399,0.0008990000000000001,0.000388,0.000319,0.000549,0.000618,0.000869,0.001146,2.47188,5.687624,4.964125,1.281334,2.263909,2.454345,4.338933,1.1888889999999999,0.151318,0.12141099999999999,7.4e-05,6.6e-05,-7.000000000000001e-06,0.0005269999999999999,0.000657,0.000489,-0.032833,0.064198,0.025901999999999998,2.0,0.0017980000000000001,0.002597,0.001431,0.001431,13.698,0.292971,-1.227681,1e-06,1e-06,2e-06,-3e-06,0.0,0.0,12.564351,-0.4983,0.024059999999999998,-0.214518,0.21564699999999998,0.086118,0.19123900000000002,-0.14121,-0.166822,-0.191901,-0.08308,-0.283485,-0.090685,0.813167,0.444275,0.299745,0.145992,0.147046,0.148733,0.141726,0.11355799999999999,0.110339,0.13511099999999998,0.120103,0.128671,0.15003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-11.512925,982.421936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1588991870,1.013015,0.0017350000000000002,0.00122,0.00237,1.011786,1.0129190000000001,1.014114,2.532394,6.68461,5.043022000000001,1.1e-05,3.2e-05,3.9e-05,0.0010810000000000001,0.429505,1.3865399999999999,0.06726599999999999,0.040691000000000005,-0.001876,-1.012189,0.0034219999999999997,0.001282,0.001667,0.313612,-0.434601,-0.24088800000000002,0.001007,0.000421,0.000383,0.0006,0.000722,0.0009570000000000001,0.001231,2.5085919999999997,5.696971,4.898519,1.561947,2.553643,2.148572,4.099891,1.076782,0.983558,0.152122,6.6e-05,5.6999999999999996e-05,-1.6e-05,0.0005780000000000001,0.0007099999999999999,0.000586,-0.026455000000000003,-0.027727999999999996,-0.160922,2.0,0.0016989999999999998,0.009752,0.005286,0.005286,14.008,0.828262,-0.188426,1e-06,5e-06,-2e-06,1e-05,0.0,2e-06,6.953139999999999,-0.194244,0.42947799999999997,-0.059124,0.15441300000000002,-0.09389600000000001,0.087546,-0.227287,-0.199604,-0.175757,-0.070362,-0.241704,-0.06099400000000001,1.7640669999999998,0.595036,0.401555,0.236576,0.263621,0.268169,0.182274,0.15817799999999999,0.14416500000000002,0.124973,0.108368,0.11941800000000001,0.11206500000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-11.512925,982.3936769999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1588991952,0.9903139999999999,0.013834,0.010695999999999999,0.024107,0.9846809999999999,0.990445,0.995318,1.919807,6.684514,5.041645,5.6000000000000006e-05,0.009602,0.027108999999999998,0.110768,0.431354,0.400864,0.16002,-0.091437,0.7440720000000001,0.646116,0.016191,0.017055,0.029847000000000002,-0.645832,0.42754,-0.70622,0.11196600000000001,0.125802,0.158309,0.20366199999999998,0.03277,0.056801,0.141707,2.053245,6.1998,5.047841,4.442672,5.134825,3.5553269999999997,4.287445,2.329905,1.011568,0.176873,-0.00227,0.006342,0.0053170000000000005,0.097259,0.130097,0.043641,0.814634,0.7087100000000001,0.85321,1.0,,,,,13.053,0.0,-6.907755,0.0,0.0,0.0,0.0,0.0,0.0,6.566062,-0.40521399999999996,0.604789,0.21739699999999998,0.257963,-0.075711,0.138889,-0.378703,0.079623,-0.192929,0.10897899999999999,-0.094466,-0.003041,0.641163,0.348294,0.130839,0.14184000000000002,0.147358,0.129947,0.127547,0.12599200000000002,0.09537899999999999,0.115828,0.11200399999999999,0.10258099999999999,0.088515,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.238055,982.3374630000001,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1588991985,0.9896440000000001,0.01846,-0.012556,0.028727,0.9799479999999999,0.9897360000000001,0.9994540000000001,2.1471259999999996,6.684437,5.043746,0.0008060000000000001,0.018783,0.021987,0.173362,0.43292299999999995,0.102394,0.14494200000000002,-0.100194,0.742386,0.643608,0.031035000000000004,0.028480000000000002,0.05055,-0.38043699999999997,0.354696,-0.8129149999999999,0.174733,0.16447799999999999,0.20633400000000002,0.271627,0.059324,0.12288900000000001,0.220288,2.147065,5.422715,5.058562,1.946986,4.570735,3.209212,4.096204,1.782721,1.9423099999999998,0.193424,-0.006872,-0.006723999999999999,-0.004989,0.173336,0.151259,0.067399,0.8253459999999999,-0.080443,0.263671,2.0,0.003394,0.004092,0.041052,0.041052,12.365,0.506707,-0.679823,2e-06,2e-06,3e-06,-4e-06,0.0,0.0,5.378625,-0.3922,0.679565,0.196994,0.186952,-0.130725,0.075902,-0.39934000000000003,0.098621,-0.22996399999999997,0.10473900000000001,-0.12506099999999998,0.015874,1.808439,0.804794,0.31188299999999997,0.270563,0.21046900000000002,0.205569,0.206596,0.24935100000000002,0.169847,0.15076199999999998,0.149876,0.157924,0.121977,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.250793,982.311157,5.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1588992045,1.01244,0.001754,0.000933,0.0033979999999999995,1.0113290000000001,1.012307,1.013333,1.581591,6.68461,5.04312,2.2e-05,8e-05,5.5e-05,0.0018579999999999998,0.42954499999999995,0.030511,0.19935999999999998,0.037097000000000005,-0.002428,-1.0117530000000001,0.0018100000000000002,0.0022010000000000003,0.0017510000000000002,-0.064826,0.009399,0.127929,0.001114,0.000634,0.0008119999999999999,0.001181,0.000695,0.000992,0.001393,2.052323,5.631061,5.357597,2.050984,3.567078,2.496254,4.384974,1.593852,0.857499,0.06565800000000001,9.7e-05,-4e-06,-1.7e-05,0.0005690000000000001,0.000695,0.000909,-0.039597,0.06575800000000001,-0.108551,3.0,0.003095,0.002896,0.001402,0.01093,13.774,0.41924300000000003,-0.8693040000000001,2e-06,1e-06,3e-06,3e-06,0.0,0.0,7.855475,-0.663195,0.8921879999999999,0.18079800000000001,0.315929,0.068272,-0.109609,0.017319,0.07471,-0.08075,-0.09465900000000001,-0.17796800000000002,-0.195705,1.1769479999999999,0.460161,0.278368,0.249975,0.216932,0.14413299999999998,0.144485,0.175777,0.161491,0.107971,0.168416,0.147977,0.18366400000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-11.512925,982.335266,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1588992123,1.012581,0.001545,-0.000908,0.0021609999999999997,1.011598,1.012689,1.013707,2.255625,6.684611,5.043234,2.6000000000000002e-05,3.9e-05,5.1e-05,0.001198,0.42956300000000003,0.212238,0.09965700000000001,0.039102,-0.002039,-1.011822,0.0013830000000000001,0.001232,0.0015480000000000001,-0.008322,0.049770999999999996,0.017405,0.000925,0.000397,0.000384,0.0006,0.000641,0.000872,0.001139,2.304364,5.687328,4.9151050000000005,0.364935,1.7873419999999998,2.1488869999999998,4.310995,1.094265,0.655706,0.12202400000000001,2.8000000000000003e-05,6e-06,-1.1e-05,0.0005139999999999999,0.000686,0.000525,-0.009209,0.046452,-0.070966,2.0,0.003693,0.004291,0.00224,0.00224,14.076,0.542644,-0.611301,2e-06,2e-06,4e-06,4e-06,1e-06,1e-06,11.176917999999999,-0.49426800000000004,0.31011700000000003,-0.06667200000000001,0.309676,0.06474500000000001,0.053935000000000004,-0.176034,-0.137524,-0.196762,-0.144902,-0.24426900000000001,-0.138464,1.0342870000000002,0.250203,0.31800700000000004,0.18369100000000002,0.144858,0.146303,0.13036099999999998,0.133417,0.12923099999999998,0.116041,0.102898,0.116388,0.130196,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-11.512925,982.304565,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1588992202,1.012866,0.0037119999999999996,0.005151,0.010485,1.011464,1.012809,1.0138719999999999,0.977988,6.684605,5.043149,2.4e-05,0.000122,7.099999999999999e-05,0.0039840000000000006,0.42959200000000003,0.030319,0.33767199999999997,0.038754000000000004,-0.00156,-1.012118,0.0018859999999999999,0.002545,0.0037090000000000005,0.042254,-0.053637,0.021244,0.001025,0.000601,0.00084,0.001192,0.0006580000000000001,0.000927,0.001202,2.0051330000000003,5.641611,4.8365089999999995,1.422661,2.1185549999999997,2.274102,4.373957,1.143569,0.807008,0.117504,5.2000000000000004e-05,0.00011499999999999999,-6.500000000000001e-05,0.000592,0.000656,0.000781,0.10679200000000001,0.09398,-0.06918400000000001,2.0,0.0004,0.0008,0.000542,0.000542,13.401,0.079446,-2.532674,,,,,,,3.839956,-0.477998,0.581833,-0.11080999999999999,0.142006,-0.180502,-0.19522,-0.21599000000000002,-0.155175,-0.129294,-0.143171,-0.173122,-0.167749,1.8364479999999999,0.73058,0.45559700000000003,0.257423,0.329506,0.27592300000000003,0.244023,0.212956,0.23052399999999998,0.164126,0.17036199999999999,0.154556,0.13706500000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-11.512925,982.233948,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
