Sleep or Awake report for: C:\Users\Adonay\Desktop\Masters Thesis\GT3X files\hao\agd\TAS1H03200183_2020-06-20___12-15-2860sec.agd
Sleep Algorithm: Cole-Kripke

Date,Time,Axis1,Axis2,Axis3,VM,Steps,HR,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Sleep or Awake?
6/18/2020,2:18 PM,3547,4094,3697,6558,37,0,0,0,60,0,0,W
6/18/2020,2:19 PM,2390,3827,2542,5179,39,0,0,0,60,0,0,W
6/18/2020,2:20 PM,3315,4888,3650,6943,35,0,0,0,60,0,0,W
6/18/2020,2:21 PM,550,428,634,942,12,0,0,0,60,0,0,W
6/18/2020,2:22 PM,3,0,13,13,1,0,0,0,0,60,0,W
6/18/2020,2:23 PM,1,0,3,3,2,0,0,0,0,60,0,W
6/18/2020,2:24 PM,0,0,0,0,0,0,0,0,0,60,0,W
6/18/2020,2:25 PM,266,38,427,505,3,0,0,0,14,46,0,W
6/18/2020,2:26 PM,176,21,362,403,6,0,0,0,46,14,0,W
6/18/2020,2:27 PM,617,468,650,1011,9,0,0,0,60,0,0,W
6/18/2020,2:28 PM,1338,1953,1974,3082,15,0,0,0,60,0,0,W
6/18/2020,2:29 PM,372,453,174,611,4,0,0,2,0,6,52,W
6/18/2020,2:30 PM,412,456,274,673,8,0,0,0,1,55,4,W
6/18/2020,2:31 PM,82,19,68,108,7,0,0,0,0,59,1,W
6/18/2020,2:32 PM,132,29,89,162,15,0,0,0,0,53,7,W
6/18/2020,2:33 PM,65,3,35,74,7,0,0,0,0,60,0,W
6/18/2020,2:34 PM,403,46,146,431,9,0,0,0,0,37,23,W
6/18/2020,2:35 PM,145,21,101,178,4,0,0,0,0,1,59,W
6/18/2020,2:36 PM,326,33,229,400,6,0,0,0,0,14,46,W
6/18/2020,2:37 PM,32,0,100,105,4,0,0,0,0,0,60,W
6/18/2020,2:38 PM,1551,2034,1765,3108,36,0,0,0,60,0,0,W
6/18/2020,2:39 PM,175,146,281,362,36,0,0,0,0,58,2,W
6/18/2020,2:40 PM,61,17,256,264,3,0,0,0,0,60,0,W
6/18/2020,2:41 PM,162,174,384,452,18,0,0,0,0,60,0,W
6/18/2020,2:42 PM,129,33,103,168,94,0,0,0,0,60,0,W
6/18/2020,2:43 PM,40,29,50,70,118,0,0,0,0,60,0,S
6/18/2020,2:44 PM,57,191,114,230,29,0,0,0,0,60,0,S
6/18/2020,2:45 PM,7,0,4,8,17,0,0,0,0,60,0,S
6/18/2020,2:46 PM,171,636,415,778,56,0,0,0,0,60,0,W
6/18/2020,2:47 PM,503,879,850,1322,33,0,0,0,60,0,0,W
6/18/2020,2:48 PM,70,178,99,215,74,0,0,0,0,60,0,S
6/18/2020,2:49 PM,177,411,223,500,58,0,0,0,0,60,0,S
6/18/2020,2:50 PM,4,5,5,8,2,0,0,0,0,60,0,W
6/18/2020,2:51 PM,8,3,5,10,9,0,0,0,0,60,0,W
6/18/2020,2:52 PM,552,1159,1509,1981,21,0,0,0,60,0,0,W
6/18/2020,2:53 PM,209,415,497,680,25,0,0,0,1,59,0,W
6/18/2020,2:54 PM,373,312,448,661,11,0,0,0,0,42,18,W
6/18/2020,2:55 PM,0,0,0,0,0,0,0,0,0,0,60,S
6/18/2020,2:56 PM,17,0,3,17,2,0,0,0,0,0,60,S
6/18/2020,2:57 PM,0,0,2,2,2,0,0,0,0,0,60,S
6/18/2020,2:58 PM,0,0,0,0,0,0,0,0,0,0,60,W
6/18/2020,2:59 PM,22,0,0,22,1,0,0,0,0,0,60,S
6/18/2020,3:00 PM,967,1271,1848,2442,30,0,0,0,60,0,0,W
6/18/2020,3:01 PM,252,124,1380,1408,7,0,0,0,1,59,0,W
6/18/2020,3:02 PM,321,52,1825,1854,8,0,0,0,6,54,0,W
6/18/2020,3:03 PM,919,995,1505,2025,17,0,0,0,60,0,0,W
6/18/2020,3:04 PM,384,352,1338,1436,10,0,0,0,1,59,0,W
6/18/2020,3:05 PM,519,48,1336,1434,8,0,0,0,60,0,0,W
6/18/2020,3:06 PM,79,227,446,507,11,0,0,0,6,54,0,W
6/18/2020,3:07 PM,0,0,29,29,1,0,0,0,0,60,0,W
6/18/2020,3:08 PM,0,0,39,39,0,0,0,0,0,60,0,W
6/18/2020,3:09 PM,306,164,271,440,5,0,0,0,1,58,1,W
6/18/2020,3:10 PM,1668,1282,1726,2721,13,0,0,0,60,0,0,W
6/18/2020,3:11 PM,1,0,0,1,2,0,0,0,0,0,60,W
6/18/2020,3:12 PM,805,1108,1091,1751,12,0,0,0,60,0,0,W
6/18/2020,3:13 PM,383,284,407,627,6,0,0,0,0,32,28,W
6/18/2020,3:14 PM,110,156,228,297,13,0,0,0,0,60,0,W
6/18/2020,3:15 PM,2343,1824,2987,4212,17,0,0,0,60,0,0,W
6/18/2020,3:16 PM,195,374,286,510,14,0,0,0,0,52,8,W
6/18/2020,3:17 PM,419,699,629,1029,11,0,0,0,0,38,22,W
6/18/2020,3:18 PM,14,0,0,14,4,0,0,0,0,27,33,W
6/18/2020,3:19 PM,360,422,631,840,15,0,0,0,1,33,26,W
6/18/2020,3:20 PM,1083,750,765,1523,10,0,0,0,60,0,0,W
6/18/2020,3:21 PM,583,682,322,953,8,0,0,0,60,0,0,W
6/18/2020,3:22 PM,271,427,693,858,11,0,0,0,4,56,0,W
6/18/2020,3:23 PM,431,504,977,1181,11,0,0,0,60,0,0,W
6/18/2020,3:24 PM,307,552,414,755,10,0,0,0,0,60,0,W
6/18/2020,3:25 PM,39,157,89,185,4,0,0,1,0,55,4,W
6/18/2020,3:26 PM,688,536,400,959,14,0,0,0,60,0,0,W
6/18/2020,3:27 PM,160,56,221,279,15,0,0,0,2,58,0,W
6/18/2020,3:28 PM,6,0,3,7,7,0,0,0,0,60,0,W
6/18/2020,3:29 PM,32,4,10,34,11,0,0,0,0,59,1,W
6/18/2020,3:30 PM,590,957,1496,1871,15,0,0,0,60,0,0,W
6/18/2020,3:31 PM,447,701,910,1233,19,0,0,0,60,0,0,W
