Sleep or Awake report for: C:\Users\Adonay\Desktop\Masters Thesis\GT3X files\zhaohui\agd\TAS1H03200183_2020-06-18___14-14-1760sec.agd
Sleep Algorithm: Cole-Kripke

Date,Time,Axis1,Axis2,Axis3,VM,Steps,HR,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Sleep or Awake?
6/16/2020,10:54 PM,2199,1773,2708,3913,23,0,0,0,60,0,0,W
6/16/2020,10:55 PM,1015,873,1001,1672,23,0,0,0,60,0,0,W
6/16/2020,10:56 PM,780,451,572,1067,11,0,0,0,60,0,0,W
6/16/2020,10:57 PM,40,41,152,162,3,0,0,0,56,4,0,W
6/16/2020,10:58 PM,0,0,0,0,0,0,0,0,60,0,0,W
6/16/2020,10:59 PM,4,6,14,16,4,0,0,0,60,0,0,W
6/16/2020,11:00 PM,0,0,11,11,1,0,0,0,59,1,0,W
6/16/2020,11:01 PM,866,1041,586,1475,5,0,0,0,60,0,0,W
6/16/2020,11:02 PM,658,727,313,1029,14,0,0,0,60,0,0,W
6/16/2020,11:03 PM,147,537,168,582,2,0,0,0,0,1,59,W
6/16/2020,11:04 PM,397,580,487,855,12,0,0,4,1,40,15,W
6/16/2020,11:05 PM,200,221,160,338,5,0,0,7,0,0,53,W
6/16/2020,11:06 PM,756,601,592,1133,8,0,0,0,60,0,0,W
6/16/2020,11:07 PM,218,139,312,405,3,0,0,28,2,14,16,W
6/16/2020,11:08 PM,13,67,98,119,2,0,0,0,51,9,0,W
6/16/2020,11:09 PM,69,0,122,140,2,0,0,0,12,48,0,W
6/16/2020,11:10 PM,81,171,71,202,4,0,0,2,0,58,0,W
6/16/2020,11:11 PM,2094,1334,2072,3234,26,0,0,0,60,0,0,W
6/16/2020,11:12 PM,969,1246,1104,1926,18,0,0,0,60,0,0,W
6/16/2020,11:13 PM,0,0,78,78,2,0,0,0,60,0,0,W
6/16/2020,11:14 PM,528,440,403,797,9,0,0,0,60,0,0,W
6/16/2020,11:15 PM,492,216,316,623,8,0,0,0,60,0,0,W
6/16/2020,11:16 PM,0,0,0,0,0,0,0,0,0,0,60,W
6/16/2020,11:17 PM,858,970,1243,1795,14,0,0,0,60,0,0,W
6/16/2020,11:18 PM,556,303,319,709,7,0,0,0,60,0,0,W
6/16/2020,11:19 PM,546,541,167,787,3,0,0,0,60,0,0,W
6/16/2020,11:20 PM,1877,1364,956,2509,22,0,0,0,60,0,0,W
6/16/2020,11:21 PM,1843,742,1022,2234,27,0,0,0,60,0,0,W
6/16/2020,11:22 PM,1025,620,630,1353,18,0,0,0,60,0,0,W
6/16/2020,11:23 PM,714,462,1376,1618,11,0,0,0,60,0,0,W
6/16/2020,11:24 PM,506,382,1587,1709,8,0,0,0,60,0,0,W
